formatted_date,portfolio_price
2010-09-09,-3.3685225785032658
2010-09-10,0.7402646674211377
2010-09-13,0.870826169866031
2010-09-14,1.9256724613585021
2010-09-15,1.9248373403325587
2010-09-16,4.183216403565122
2010-09-17,2.5523821253101486
2010-09-20,2.4198406131030312
2010-09-21,0.42504307655090273
2010-09-22,0.3536273489669751
2010-09-23,-3.6815574497084573
2010-09-24,1.0291785437339385
2010-09-27,1.1720593376964408
2010-09-28,-1.5047129353936224
2010-09-29,1.6142604233617133
2010-09-30,2.986988873462638
2010-10-01,0.20883531547374734
2010-10-04,-2.582949896176763
2010-10-05,2.2367837011745824
2010-10-06,-1.2505747693521376
2010-10-07,-1.8065678880690228
2010-10-08,0.4684180159653119
2010-10-11,1.494024391070688
2010-10-12,-0.2634648144021169
2010-10-13,1.2564203149060649
2010-10-14,1.487419947790409
2010-10-15,-0.7621648957401937
2010-10-18,1.2191976114497638
2010-10-19,-7.148468655627947
2010-10-20,-1.2368487878419678
2010-10-21,3.8861717379228478
2010-10-22,1.7697294699864934
2010-10-25,2.3547996263855993
2010-10-26,1.25038579210949
2010-10-27,-0.2261652482412962
2010-10-28,2.5266267852325517
2010-10-29,1.9155930551561715
2010-11-01,6.48773997653328
2010-11-02,2.00683878026338
2010-11-03,-0.6537670106445072
2010-11-04,2.356801578394041
2010-11-05,0.06430515374811971
2010-11-08,0.48284312326017964
2010-11-09,1.802310730307106
2010-11-10,0.26615960971469155
2010-11-11,0.26743688952666234
2010-11-12,-1.7299524009921947
2010-11-15,-0.9597196009154207
2010-11-16,-9.327363193021888
2010-11-17,2.3562099331707964
2010-11-18,0.5234726592668814
2010-11-19,1.5608541220270633
2010-11-22,2.889467129826502
2010-11-23,2.6644775215780556
2010-11-24,11.524082008779589
2010-11-26,0.4877737151783412
2010-11-29,0.17646410078759978
2010-11-30,1.0158708050341831
2010-12-01,10.295503621268914
2010-12-02,1.8773908145173888
2010-12-03,2.768007739540992
2010-12-06,2.460238918917624
