formatted_date,EWA,EWA_beta,const_beta,EWC,y_hat,e,q,sqrt_q,zScore,longsEntry,longsExit,shortsEntry,shortsExit
2006-04-26,11.17011547088623,1.43577677864689,0.005361467318408522,18.72361946105957,16.04315387522123,2.6804655858383413,0.01105011684325696,0.10511953597337156,,False,False,False,False
2006-04-27,11.109015464782715,1.5086797367406788,0.011927982216017409,18.59563446044922,16.771874509072536,1.8237599513766831,0.01646179411971036,0.1283035234111299,,False,False,False,False
2006-04-28,11.17011547088623,1.5680085091747833,0.017231310544605704,18.716093063354492,17.532067417359105,1.184025645995387,0.0190345244071422,0.13796566387018983,,False,False,False,False
2006-05-01,11.277026176452637,1.605168631651037,0.020503250615418626,18.79890251159668,18.122031927364823,0.6768705842318568,0.02021071261998399,0.14216438590583785,-1.0576637328806329,False,False,False,False
2006-05-02,11.266843795776367,1.6359612438503837,0.02322718614251278,19.002172470092773,18.455346976548796,0.5468254935439774,0.02050169242851477,0.1431841207275261,-0.8812736321916548,False,False,False,False
2006-05-03,11.28211784362793,1.6487964850573824,0.024360436073941834,18.851606369018555,18.626276680650847,0.22532968836770806,0.020654336234229187,0.14371616552854863,-1.0861613944371258,False,False,False,False
2006-05-04,11.256659507751465,1.6551829438460888,0.024928716273048365,18.768789291381836,18.656759538186183,0.11202975319565311,0.020637695595813802,0.14365825975492605,-1.0484544835782308,False,False,False,False
2006-05-05,11.404306411743164,1.6589572759566,0.0252506642537386,19.009700775146484,18.94450776325357,0.06519301189291582,0.02097335446656981,0.14482180245587958,-0.7933366699152472,False,False,False,False
2006-05-08,11.439945220947266,1.6565572373203483,0.025046010278046812,18.934419631958008,18.97597006058657,-0.041550428628561065,0.020982956021531822,0.1448549482121057,-1.1913168270423815,False,False,False,False
2006-05-09,11.607954025268555,1.6535549710458701,0.024802540870564087,19.167804718017578,19.2191926230253,-0.05138790500772217,0.021289669306149592,0.14590979852686245,-0.9012430532435483,False,False,False,False
2006-05-10,11.56213665008545,1.6549156695746459,0.024917689794120294,19.182861328125,19.159278805783835,0.023582522341165202,0.021095903282806187,0.14524428829667,0.44539205788532515,False,False,False,False
2006-05-11,11.557044982910156,1.64589495471439,0.024145909928773683,18.889244079589844,19.045827938707852,-0.1565838591180082,0.021072858641996803,0.1451649359934995,-1.3424469936214505,False,False,False,False
2006-05-12,11.271936416625977,1.6460322463344734,0.02415927846608312,18.580575942993164,18.578130098864293,0.0024458441288714994,0.02047849218287716,0.14310308236679306,0.5953522017982632,False,False,False,False
2006-05-15,11.012283325195312,1.6463150204225916,0.024189132161049176,18.15897560119629,18.153876579579332,0.005099021616956634,0.020070084072786976,0.14166892416047697,0.4340461280127587,False,False,False,False
2006-05-16,11.159930229187012,1.6403966020667444,0.023640186210596638,18.22673225402832,18.330351813470916,-0.10361955944259549,0.020562626222447287,0.14339674411383016,-0.5040038758175368,False,False,False,False
2006-05-17,10.808633804321289,1.643710990987997,0.024004001258004715,17.850296020507812,17.790274182985314,0.060021837522498345,0.019806753868653305,0.14073646957577593,1.0088896847312494,False,False,False,False
2006-05-18,10.83409309387207,1.6359574248299606,0.023215534465073226,17.609384536743164,17.74733057268409,-0.13794603594092436,0.020033925032732568,0.14154124852046687,-1.0155628649740394,False,False,False,False
2006-05-19,10.76790714263916,1.637022686301699,0.023324201201022375,17.669614791870117,17.65063247769143,0.01898231417868601,0.01994419255919422,0.14122390930431794,0.627057118846587,False,False,False,False
2006-05-22,10.513345718383789,1.646918537601196,0.024460878332557136,17.519041061401367,17.339084834148984,0.17995622725238292,0.019443282506138637,0.13943917134771935,1.1402000450650558,False,False,False,False
2006-05-23,10.655900955200195,1.6455205347953676,0.024324141593780903,17.534099578857422,17.558827980121276,-0.024728401263853783,0.01990457191664311,0.14108356359492452,-0.2565480035656683,False,False,False,False
2006-05-24,10.528618812561035,1.6461886331212483,0.02439450059317001,17.36846923828125,17.356487112297682,0.011982125983568181,0.019611218372234528,0.14004005988371515,-0.37992390702996676,False,False,False,False
2006-05-25,10.666083335876465,1.6609361112809826,0.025741209806341942,18.000871658325195,17.741424188295888,0.2594474700293077,0.019972443428128473,0.14132389546049343,1.128961601302757,False,False,False,False
2006-05-26,10.737358093261719,1.6714833555343362,0.026657188863374558,18.15897560119629,17.973972524162235,0.18500307703405383,0.020080464926354624,0.14170555714704566,0.5656527416340437,False,False,False,False
2006-05-30,10.68644905090332,1.678319609704323,0.02729471191086569,18.08368682861328,17.96257171214806,0.12111511646522288,0.019914221866530055,0.14111775886305045,-0.22201873078080683,False,False,False,False
2006-05-31,10.589713096618652,1.6956173449614502,0.029049941139176135,18.29448890686035,17.985151145931194,0.3093377609291572,0.01970767923393185,0.140384041948976,1.0952435408109886,False,False,False,False
2006-06-01,10.543896675109863,1.7091825699411505,0.030445020934210226,18.29448890686035,18.051889437292438,0.24259946956791367,0.0196584142063619,0.14020846695674943,0.34948483562159405,False,False,False,False
2006-06-02,10.666083335876465,1.7162163146728346,0.03106977578474192,18.460115432739258,18.336376010475984,0.12373942226327372,0.01996998851235248,0.14131520977004733,-0.8136051943061853,False,False,False,False
2006-06-05,10.548981666564941,1.7141394671189816,0.03085862331013517,18.076156616210938,18.11328443588367,-0.03712781967273315,0.019667236857455136,0.14023992604624097,-1.2946364017061034,False,False,False,False
2006-06-06,10.365702629089355,1.7177672541328186,0.03128447389589878,17.902997970581055,17.83714901622406,0.06584895435699423,0.019305084694156413,0.13894273890404066,-0.2820372234150261,False,False,False,False
